0	-5.48602e-07	-4.22978e-06
0.001	-4.28095e-06	-6.99132e-06
0.002	-4.06668e-06	-2.20685e-06
0.003	-2.74438e-06	-3.88785e-06
0.004	-2.61683e-06	-5.1849e-06
0.005	-2.83986e-06	-5.6284e-06
0.006	-7.90245e-08	-5.07834e-06
0.007	-3.24888e-06	-6.07971e-06
0.008	-3.79316e-06	-2.62948e-06
0.009	-1.04806e-07	-4.21115e-06
0.01	-3.2484e-06	-4.77728e-06
0.011	-3.74896e-06	-5.23244e-06
0.012	-9.91552e-07	-1.6436e-06
0.013	-2.12585e-06	-2.99361e-06
0.014	-1.88939e-06	-4.72022e-06
0.015	-9.94869e-07	-2.07787e-06
0.016	-7.76761e-07	-4.23936e-06
0.017	-3.49135e-06	-4.78748e-06
0.018	-1.51707e-06	-2.96804e-06
0.019	-2.05619e-06	-7.33201e-06
0.02	-3.97905e-06	-4.37383e-06
0.021	-2.01302e-06	-4.29127e-06
0.022	-8.68239e-07	-5.11148e-06
0.023	-1.89357e-06	-2.98385e-06
0.024	1.05901e-07	-3.76817e-06
0.025	-5.46059e-06	-6.17258e-06
0.026	-3.07081e-06	-4.33569e-06
0.027	-7.99506e-07	-2.93791e-06
0.028	-3.84312e-06	-3.93398e-06
0.029	-2.78154e-06	-2.15289e-06
0.03	-2.6455e-06	-3.01543e-06
0.031	-2.62289e-06	-5.18515e-06
0.032	-3.23332e-06	-3.90838e-06
0.033	-4.95971e-07	-2.05692e-06
0.034	-3.70177e-06	-4.36218e-06
0.035	-3.77253e-06	-1.76037e-06
0.036	-2.46801e-07	-2.91471e-06
0.037	-2.95024e-07	-7.46078e-07
0.038	-2.24667e-06	-2.56454e-06
0.039	-5.10003e-07	-1.62338e-06
0.04	-2.16188e-06	-2.99512e-06
0.041	-6.48466e-07	-1.19505e-06
0.042	-3.39018e-07	-2.05033e-06
0.043	-2.58071e-06	-3.44684e-06
0.044	-1.54548e-06	-7.98584e-07
0.045	1.13876e-08	-2.90386e-06
0.046	-2.14418e-06	-2.56024e-06
0.047	-6.91572e-07	-2.06513e-06
0.048	8.05909e-07	-1.56812e-06
0.049	6.63531e-08	-2.90156e-06
0.05	-9.42327e-07	9.50131e-08
0.051	1.49191e-08	-1.1672e-06
0.052	-2.82187e-06	-8.52179e-07
0.053	-3.04588e-06	-1.29572e-06
0.054	2.90047e-06	-1.04604e-06
0.055	-2.09383e-06	-1.68988e-06
0.056	-4.29383e-06	-1.78226e-06
0.057	1.19863e-06	-6.8336e-07
0.058	-3.23022e-06	-1.05419e-09
0.059	-1.63694e-06	-1.23656e-06
0.06	-4.33632e-08	5.66895e-07
0.061	-7.32241e-07	1.03834e-07
0.062	-2.69163e-06	1.32397e-06
0.063	2.11512e-07	-2.90673e-07
0.064	3.24295e-08	-7.32328e-07
0.065	-3.66928e-07	5.53309e-07
0.066	-1.50053e-06	9.39845e-07
0.067	1.77982e-06	-2.82961e-06
0.068	-3.34185e-06	2.16494e-06
0.069	5.06507e-07	5.89984e-07
0.07	-1.85759e-07	-7.4149e-07
0.071	-1.97085e-06	-1.25058e-06
0.072	2.39275e-06	1.10332e-06
0.073	6.47954e-07	-7.06483e-07
0.074	-1.91923e-07	1.26522e-07
0.075	2.46161e-06	6.72078e-07
0.076	1.46396e-06	-1.10635e-06
0.077	2.46691e-07	1.01321e-06
0.078	3.40368e-06	7.11635e-07
0.079	-7.84622e-08	-3.02849e-07
0.08	-1.96707e-06	4.8612e-07
0.081	1.65355e-06	2.37469e-06
0.082	-8.11254e-07	-1.63602e-06
0.083	1.45783e-06	2.36647e-06
0.084	2.60876e-06	1.98066e-06
0.085	1.48168e-06	1.96796e-07
0.086	-9.23816e-07	3.13471e-06
0.087	1.96806e-06	2.38789e-06
0.088	1.4222e-06	1.4967e-06
0.089	4.36385e-07	2.32358e-06
0.09	1.05475e-06	1.78869e-07
0.091	2.86867e-06	6.8917e-07
0.092	-3.09112e-06	1.74133e-06
0.093	4.27252e-06	1.61639e-06
0.094	2.25246e-06	1.53157e-06
0.095	-1.51292e-06	1.37346e-06
0.096	4.02145e-06	1.60585e-06
0.097	2.49378e-06	1.5417e-06
0.098	6.2802e-07	2.76574e-06
0.099	5.08979e-06	3.82136e-06
0.1	1.67088e-06	1.94128e-06
0.101	5.35192e-07	2.76184e-06
0.102	5.85253e-06	3.41925e-06
0.103	3.83132e-06	3.76851e-06
0.104	1.22036e-06	3.65888e-06
0.105	3.77686e-06	2.02971e-06
0.106	2.0188e-06	2.39003e-06
0.107	-1.58691e-07	5.62053e-07
0.108	2.99942e-06	4.60185e-06
0.109	1.13504e-07	2.31002e-06
0.11	2.30343e-06	5.00677e-06
0.111	3.63026e-06	6.36488e-06
0.112	2.15544e-07	1.0119e-06
0.113	-2.27939e-07	2.7298e-06
0.114	2.919e-06	4.59848e-06
0.115	1.8572e-06	2.38324e-06
0.116	1.61192e-06	2.80705e-06
0.117	2.68126e-06	4.5885e-06
0.118	4.59905e-07	4.49522e-06
0.119	2.79467e-06	5.02739e-06
0.12	3.92918e-06	4.6409e-06
0.121	2.79453e-06	5.02739e-06
0.122	8.02202e-07	4.5096e-06
0.123	3.37803e-06	5.92016e-06
0.124	1.86849e-06	4.12023e-06
0.125	2.04409e-06	2.8252e-06
0.126	3.00611e-06	4.168e-06
0.127	2.99919e-06	4.16771e-06
0.128	4.17824e-06	3.78308e-06
0.129	4.96676e-06	5.1186e-06
0.13	6.90662e-07	5.80732e-06
0.131	1.37444e-06	5.40189e-06
0.132	5.91545e-06	5.59257e-06
