"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3201:31:00","21.135","21.154","21.228","21.056"
"3201:32:00","21.136","21.154","21.226","21.053"
"3201:33:00","21.136","21.153","21.225","21.053"
"3201:34:00","21.137","21.152","21.227","21.051"
"3201:35:00","21.137","21.151","21.228","21.051"
"3201:36:00","21.137","21.151","21.229","21.049"
"3201:37:00","21.135","21.151","21.226","21.051"
"3201:38:00","21.135","21.152","21.227","21.049"
"3201:39:00","21.136","21.152","21.225","21.048"
"3201:40:00","21.137","21.151","21.223","21.050"
"3201:41:00","21.133","21.152","21.227","21.049"
"3201:42:00","21.135","21.152","21.224","21.050"
"3201:43:00","21.137","21.152","21.225","21.051"
"3201:44:00","21.136","21.151","21.228","21.052"
"3201:45:00","21.136","21.151","21.229","21.053"
"3201:45:00","21.136","21.151","21.229","21.053"
"3201:46:00","21.138","21.152","21.232","21.054"
"3201:47:00","21.136","21.153","21.233","21.055"
"3201:48:00","21.137","21.152","21.230","21.054"
"3201:49:00","21.137","21.152","21.230","21.053"
"3201:50:00","21.138","21.152","21.227","21.052"
"3201:51:00","21.137","21.153","21.229","21.054"
"3201:52:00","21.139","21.153","21.229","21.052"
"3201:53:00","21.138","21.153","21.231","21.053"
"3201:54:00","21.137","21.154","21.230","21.054"
"3201:55:00","21.137","21.155","21.230","21.054"
"3201:56:00","21.140","21.154","21.231","21.055"
"3201:57:00","21.138","21.155","21.232","21.053"
"3201:58:00","21.138","21.154","21.228","21.052"
"3201:59:00","21.138","21.153","21.228","21.053"
"3202:00:00","21.137","21.153","21.228","21.050"
"3202:01:00","21.140","21.153","21.228","21.051"
"3202:02:00","21.140","21.156","21.230","21.051"
"3202:03:00","21.139","21.153","21.230","21.051"
"3202:04:00","21.140","21.153","21.228","21.051"
"3202:05:00","21.140","21.152","21.232","21.052"
"3202:05:00","21.140","21.152","21.232","21.052"
"3202:06:00","21.137","21.152","21.231","21.051"
"3202:07:00","21.138","21.152","21.231","21.050"
"3202:08:00","21.138","21.152","21.229","21.051"
"3202:09:00","21.139","21.153","21.230","21.052"
"3202:10:00","21.137","21.152","21.231","21.052"
"3202:11:00","21.138","21.154","21.230","21.053"
"3202:12:00","21.138","21.153","21.233","21.055"
"3202:13:00","21.138","21.154","21.233","21.052"
"3202:14:00","21.138","21.153","21.231","21.051"
"3202:15:00","21.137","21.150","21.227","21.048"
"3202:16:00","21.137","21.150","21.227","21.047"
"3202:17:00","21.136","21.151","21.228","21.047"
"3202:18:00","21.137","21.151","21.227","21.047"
"3202:19:00","21.137","21.152","21.227","21.046"
"3202:20:00","21.135","21.152","21.228","21.048"
"3202:21:00","21.136","21.151","21.226","21.047"
"3202:22:00","21.133","21.152","21.227","21.050"
"3202:23:00","21.135","21.150","21.228","21.048"
"3202:24:00","21.136","21.149","21.228","21.046"
"3202:25:00","21.136","21.152","21.226","21.047"
"3202:25:00","21.136","21.152","21.226","21.047"
"3202:26:00","21.134","21.152","21.226","21.046"
"3202:27:00","21.136","21.150","21.225","21.048"
"3202:28:00","21.134","21.152","21.224","21.047"
"3202:29:00","21.137","21.152","21.227","21.048"
"3202:30:00","21.136","21.150","21.228","21.045"
"3202:31:00","21.136","21.151","21.225","21.045"
"3202:32:00","21.137","21.150","21.225","21.045"
"3202:33:00","21.137","21.149","21.227","21.045"
"3202:34:00","21.137","21.150","21.227","21.044"
"3202:35:00","21.136","21.149","21.224","21.043"
"3202:36:00","21.136","21.151","21.227","21.045"
"3202:37:00","21.137","21.151","21.226","21.046"
"3202:38:00","21.136","21.152","21.228","21.047"
"3202:39:00","21.136","21.151","21.229","21.048"
"3202:40:00","21.137","21.151","21.228","21.047"
"3202:41:00","21.136","21.152","21.227","21.046"
"3202:42:00","21.135","21.152","21.226","21.045"
"3202:43:00","21.136","21.151","21.223","21.044"
"3202:44:00","21.134","21.150","21.223","21.049"
"3202:45:00","21.135","21.152","21.224","21.049"
"3202:45:00","21.135","21.152","21.224","21.049"
"3202:46:00","21.135","21.150","21.225","21.048"
"3202:47:00","21.136","21.150","21.227","21.049"
"3202:48:00","21.137","21.150","21.225","21.051"
"3202:49:00","21.136","21.150","21.224","21.049"
"3202:50:00","21.133","21.151","21.224","21.049"
"3202:51:00","21.138","21.151","21.224","21.052"
"3202:52:00","21.136","21.151","21.226","21.050"
"3202:53:00","21.134","21.151","21.223","21.047"
"3202:54:00","21.134","21.152","21.222","21.048"
"3202:55:00","21.134","21.151","21.222","21.045"
"3202:56:00","21.133","21.150","21.221","21.046"
"3202:57:00","21.134","21.149","21.223","21.048"
"3202:58:00","21.133","21.149","21.219","21.046"
"3202:59:00","21.133","21.151","21.220","21.047"
"3203:00:00","21.133","21.151","21.220","21.048"
"3203:01:00","21.133","21.150","21.219","21.046"
"3203:02:00","21.135","21.152","21.222","21.048"
"3203:03:00","21.134","21.150","21.222","21.050"
"3203:04:00","21.135","21.150","21.222","21.047"
"3203:05:00","21.134","21.152","21.226","21.049"
"3203:05:00","21.134","21.152","21.226","21.049"
"3203:06:00","21.137","21.150","21.223","21.048"
"3203:07:00","21.135","21.151","21.222","21.047"
"3203:08:00","21.134","21.152","21.223","21.047"
"3203:09:00","21.135","21.151","21.221","21.049"
"3203:10:00","21.134","21.150","21.220","21.047"
"3203:11:00","21.132","21.149","21.220","21.049"
"3203:12:00","21.132","21.149","21.222","21.048"
"3203:13:00","21.133","21.150","21.218","21.048"
"3203:14:00","21.133","21.150","21.220","21.046"
"3203:15:00","21.132","21.147","21.221","21.048"
"3203:16:00","21.134","21.149","21.222","21.049"
"3203:17:00","21.133","21.147","21.221","21.048"
"3203:18:00","21.132","21.147","21.219","21.050"
"3203:19:00","21.131","21.149","21.223","21.048"
"3203:20:00","21.133","21.149","21.222","21.046"
"3203:21:00","21.132","21.148","21.221","21.045"
"3203:22:00","21.134","21.149","21.222","21.045"
"3203:23:00","21.134","21.150","21.223","21.046"
"3203:24:00","21.136","21.151","21.224","21.046"
"3203:25:00","21.135","21.150","21.224","21.047"
"3203:25:00","21.135","21.150","21.224","21.047"
"3203:26:00","21.133","21.148","21.223","21.048"
"3203:27:00","21.131","21.150","21.223","21.048"
"3203:28:00","21.134","21.150","21.223","21.048"
"3203:29:00","21.133","21.148","21.222","21.047"
"3203:30:00","21.134","21.149","21.222","21.046"
"3203:31:00","21.134","21.149","21.221","21.047"
"3203:32:00","21.135","21.151","21.222","21.047"
"3203:33:00","21.134","21.150","21.224","21.048"
"3203:34:00","21.132","21.150","21.224","21.048"
"3203:35:00","21.131","21.148","21.223","21.049"
"3203:36:00","21.134","21.150","21.224","21.050"
"3203:37:00","21.134","21.148","21.225","21.050"
"3203:38:00","21.133","21.149","21.227","21.049"
"3203:39:00","21.134","21.150","21.226","21.052"
"3203:40:00","21.134","21.150","21.226","21.049"
"3203:41:00","21.134","21.150","21.226","21.052"
"3203:42:00","21.134","21.150","21.227","21.053"
"3203:43:00","21.133","21.152","21.227","21.054"
"3203:44:00","21.135","21.152","21.226","21.056"
"3203:45:00","21.133","21.152","21.226","21.056"
"3203:45:00","21.133","21.152","21.226","21.056"
"3203:46:00","21.133","21.151","21.225","21.054"
"3203:47:00","21.136","21.154","21.227","21.057"
"3203:48:00","21.135","21.154","21.227","21.054"
"3203:49:00","21.136","21.152","21.229","21.055"
"3203:50:00","21.135","21.152","21.230","21.053"
"3203:51:00","21.137","21.152","21.230","21.051"
"3203:52:00","21.138","21.153","21.231","21.053"
"3203:53:00","21.136","21.152","21.229","21.052"
"3203:54:00","21.136","21.152","21.229","21.051"
"3203:55:00","21.136","21.151","21.230","21.052"
"3203:56:00","21.137","21.152","21.228","21.051"
"3203:57:00","21.136","21.151","21.229","21.051"
"3203:58:00","21.135","21.152","21.229","21.052"
"3203:59:00","21.136","21.151","21.225","21.052"
"3204:00:00","21.133","21.152","21.225","21.051"
"3204:01:00","21.135","21.152","21.227","21.053"
"3204:02:00","21.135","21.153","21.226","21.051"
"3204:03:00","21.135","21.151","21.227","21.050"
"3204:04:00","21.136","21.150","21.226","21.049"
"3204:05:00","21.137","21.152","21.228","21.049"
"3204:05:00","21.137","21.152","21.228","21.049"
"3204:06:00","21.135","21.152","21.227","21.046"
"3204:07:00","21.134","21.150","21.226","21.047"
"3204:08:00","21.135","21.153","21.226","21.048"
"3204:09:00","21.135","21.151","21.225","21.050"
"3204:10:00","21.136","21.152","21.226","21.050"
"3204:11:00","21.138","21.152","21.227","21.052"
"3204:12:00","21.137","21.153","21.229","21.054"
"3204:13:00","21.135","21.154","21.231","21.054"
"3204:14:00","21.137","21.155","21.231","21.053"
"3204:15:00","21.137","21.153","21.229","21.051"
"3204:16:00","21.138","21.153","21.230","21.051"
"3204:17:00","21.136","21.152","21.227","21.051"
"3204:18:00","21.137","21.153","21.228","21.050"
"3204:19:00","21.135","21.154","21.229","21.051"
"3204:20:00","21.138","21.153","21.232","21.052"
"3204:21:00","21.135","21.152","21.229","21.051"
"3204:22:00","21.136","21.154","21.230","21.053"
"3204:23:00","21.136","21.153","21.230","21.051"
"3204:24:00","21.137","21.154","21.233","21.052"
"3204:25:00","21.140","21.154","21.234","21.052"
"3204:25:00","21.140","21.154","21.234","21.052"
"3204:26:00","21.137","21.154","21.232","21.054"
"3204:27:00","21.138","21.153","21.233","21.052"
"3204:28:00","21.136","21.153","21.228","21.050"
"3204:29:00","21.136","21.154","21.232","21.050"
"3204:30:00","21.139","21.152","21.231","21.048"
"3204:31:00","21.135","21.154","21.232","21.049"
"3204:32:00","21.136","21.153","21.232","21.051"
"3204:33:00","21.137","21.153","21.229","21.051"
"3204:34:00","21.136","21.153","21.227","21.049"
"3204:35:00","21.137","21.153","21.227","21.048"
"3204:36:00","21.137","21.151","21.224","21.047"
"3204:37:00","21.137","21.152","21.225","21.049"
"3204:38:00","21.134","21.152","21.226","21.048"
"3204:39:00","21.137","21.150","21.226","21.049"
"3204:40:00","21.135","21.150","21.225","21.047"
"3204:41:00","21.134","21.151","21.224","21.048"
"3204:42:00","21.136","21.150","21.225","21.047"
"3204:43:00","21.135","21.150","21.224","21.048"
"3204:44:00","21.136","21.152","21.225","21.047"
"3204:45:00","21.136","21.152","21.228","21.050"
"3204:45:00","21.136","21.152","21.228","21.050"
"3204:46:00","21.136","21.154","21.223","21.049"
"3204:47:00","21.135","21.153","21.224","21.050"
"3204:48:00","21.134","21.153","21.226","21.049"
"3204:49:00","21.137","21.151","21.222","21.049"
"3204:50:00","21.135","21.153","21.223","21.049"
"3204:51:00","21.135","21.154","21.225","21.048"
"3204:52:00","21.135","21.154","21.226","21.050"
"3204:53:00","21.137","21.153","21.228","21.048"
"3204:54:00","21.136","21.150","21.228","21.049"
"3204:55:00","21.137","21.152","21.227","21.050"
"3204:56:00","21.135","21.153","21.224","21.049"
"3204:57:00","21.134","21.154","21.225","21.052"
"3204:58:00","21.134","21.151","21.223","21.050"
"3204:59:00","21.136","21.152","21.224","21.050"
"3205:00:00","21.135","21.152","21.225","21.050"
"3205:01:00","21.137","21.154","21.226","21.052"
"3205:02:00","21.135","21.151","21.223","21.048"
"3205:03:00","21.135","21.152","21.222","21.047"
"3205:04:00","21.135","21.152","21.221","21.049"
"3205:05:00","21.134","21.152","21.220","21.049"
"3205:05:00","21.134","21.152","21.220","21.049"
"3205:06:00","21.136","21.151","21.222","21.049"
"3205:07:00","21.136","21.153","21.223","21.049"
"3205:08:00","21.137","21.151","21.225","21.048"
"3205:09:00","21.138","21.151","21.226","21.049"
"3205:10:00","21.138","21.151","21.227","21.050"
"3205:11:00","21.137","21.154","21.226","21.050"
"3205:12:00","21.136","21.153","21.224","21.051"
"3205:13:00","21.133","21.152","21.221","21.049"
"3205:14:00","21.135","21.153","21.222","21.047"
"3205:15:00","21.133","21.153","21.221","21.047"
"3205:16:00","21.136","21.152","21.225","21.048"
"3205:17:00","21.136","21.151","21.224","21.048"
"3205:18:00","21.137","21.151","21.227","21.047"
"3205:19:00","21.136","21.151","21.226","21.047"
"3205:20:00","21.136","21.150","21.227","21.048"
"3205:21:00","21.135","21.153","21.227","21.050"
"3205:22:00","21.135","21.153","21.224","21.051"
"3205:23:00","21.134","21.153","21.224","21.050"
"3205:24:00","21.137","21.153","21.224","21.053"
"3205:25:00","21.135","21.153","21.228","21.056"
"3205:25:00","21.135","21.153","21.228","21.056"
"3205:26:00","21.137","21.155","21.228","21.055"
"3205:27:00","21.135","21.155","21.226","21.055"
"3205:28:00","21.134","21.153","21.226","21.056"
"3205:29:00","21.134","21.154","21.226","21.056"
"3205:30:00","21.134","21.153","21.224","21.055"
"3205:31:00","21.133","21.153","21.226","21.055"
"3205:32:00","21.134","21.154","21.225","21.052"
"3205:33:00","21.134","21.155","21.223","21.049"
"3205:34:00","21.136","21.154","21.225","21.054"
"3205:35:00","21.136","21.152","21.223","21.050"
"3205:36:00","21.134","21.152","21.223","21.048"
"3205:37:00","21.136","21.151","21.222","21.047"
"3205:38:00","21.133","21.152","21.222","21.043"
"3205:39:00","21.134","21.152","21.227","21.045"
"3205:40:00","21.136","21.152","21.227","21.047"
"3205:41:00","21.137","21.150","21.227","21.048"
"3205:42:00","21.137","21.150","21.225","21.048"
"3205:43:00","21.137","21.152","21.228","21.048"
"3205:44:00","21.137","21.151","21.230","21.049"
"3205:45:00","21.138","21.149","21.226","21.047"
"3205:45:00","21.138","21.149","21.226","21.047"
"3205:46:00","21.135","21.153","21.225","21.047"
"3205:47:00","21.137","21.154","21.225","21.047"
"3205:48:00","21.138","21.149","21.226","21.046"
"3205:49:00","21.138","21.153","21.229","21.045"
"3205:50:00","21.136","21.153","21.225","21.046"
"3205:51:00","21.137","21.152","21.222","21.046"
"3205:52:00","21.136","21.151","21.223","21.046"
"3205:53:00","21.136","21.151","21.227","21.046"
"3205:54:00","21.137","21.152","21.228","21.049"
"3205:55:00","21.137","21.155","21.229","21.052"
"3205:56:00","21.137","21.153","21.228","21.051"
"3205:57:00","21.136","21.151","21.226","21.051"
"3205:58:00","21.137","21.152","21.227","21.051"
"3205:59:00","21.138","21.152","21.228","21.052"
"3206:00:00","21.138","21.153","21.231","21.053"
"3206:01:00","21.137","21.152","21.228","21.053"
"3206:02:00","21.137","21.152","21.226","21.051"
"3206:03:00","21.138","21.153","21.231","21.051"
"3206:04:00","21.140","21.153","21.233","21.054"
"3206:05:00","21.138","21.155","21.231","21.052"
"3206:05:00","21.138","21.155","21.231","21.052"
"3206:06:00","21.136","21.154","21.229","21.052"
"3206:07:00","21.138","21.154","21.231","21.053"
"3206:08:00","21.136","21.154","21.229","21.053"
"3206:09:00","21.137","21.153","21.231","21.054"
"3206:10:00","21.137","21.153","21.232","21.052"
"3206:11:00","21.138","21.152","21.231","21.052"
"3206:12:00","21.137","21.151","21.232","21.052"
"3206:13:00","21.136","21.152","21.231","21.053"
"3206:14:00","21.137","21.153","21.231","21.052"
"3206:15:00","21.136","21.153","21.231","21.050"
"3206:16:00","21.136","21.153","21.229","21.049"
"3206:17:00","21.138","21.153","21.230","21.051"
"3206:18:00","21.140","21.155","21.232","21.050"
"3206:19:00","21.138","21.153","21.232","21.050"
"3206:20:00","21.140","21.153","21.235","21.051"
"3206:21:00","21.139","21.153","21.234","21.051"
"3206:22:00","21.139","21.153","21.234","21.050"
"3206:23:00","21.140","21.153","21.232","21.046"
"3206:24:00","21.140","21.153","21.231","21.046"
"3206:25:00","21.139","21.154","21.234","21.049"
"3206:25:00","21.139","21.154","21.234","21.049"
"3206:26:00","21.138","21.153","21.233","21.048"
"3206:27:00","21.141","21.154","21.234","21.052"
"3206:28:00","21.142","21.152","21.231","21.056"
"3206:29:00","21.139","21.153","21.232","21.054"
"3206:30:00","21.138","21.151","21.234","21.052"
"3206:31:00","21.139","21.153","21.231","21.051"
"3206:32:00","21.140","21.152","21.233","21.051"
"3206:33:00","21.140","21.155","21.231","21.052"
"3206:34:00","21.139","21.155","21.234","21.054"
"3206:35:00","21.141","21.155","21.235","21.057"
"3206:36:00","21.142","21.155","21.234","21.057"
"3206:37:00","21.143","21.154","21.232","21.057"
"3206:38:00","21.141","21.154","21.232","21.056"
"3206:39:00","21.143","21.155","21.236","21.055"
"3206:40:00","21.144","21.155","21.235","21.059"
"3206:41:00","21.145","21.157","21.234","21.059"
"3206:42:00","21.145","21.158","21.234","21.056"
"3206:43:00","21.144","21.158","21.233","21.055"
"3206:44:00","21.142","21.157","21.231","21.055"
"3206:45:00","21.142","21.159","21.233","21.056"
"3206:45:00","21.142","21.159","21.233","21.056"
"3206:46:00","21.140","21.156","21.236","21.056"
"3206:47:00","21.139","21.157","21.237","21.058"
"3206:48:00","21.140","21.156","21.238","21.058"
"3206:49:00","21.139","21.156","21.234","21.058"
"3206:50:00","21.139","21.156","21.237","21.056"
"3206:51:00","21.140","21.156","21.237","21.056"
"3206:52:00","21.141","21.156","21.239","21.058"
"3206:53:00","21.141","21.156","21.235","21.059"
"3206:54:00","21.141","21.157","21.238","21.059"
"3206:55:00","21.140","21.156","21.236","21.057"
"3206:56:00","21.140","21.158","21.237","21.058"
"3206:57:00","21.139","21.157","21.238","21.059"
"3206:58:00","21.139","21.156","21.236","21.058"
"3206:59:00","21.141","21.158","21.235","21.056"
"3207:00:00","21.139","21.157","21.232","21.055"
"3207:01:00","21.138","21.156","21.233","21.057"
"3207:02:00","21.139","21.156","21.233","21.056"
"3207:03:00","21.141","21.156","21.234","21.056"
"3207:04:00","21.142","21.156","21.232","21.052"
"3207:05:00","21.141","21.157","21.232","21.054"
"3207:05:00","21.141","21.157","21.232","21.054"
"3207:06:00","21.139","21.158","21.236","21.055"
"3207:07:00","21.141","21.157","21.235","21.056"
"3207:08:00","21.139","21.157","21.234","21.055"
"3207:09:00","21.141","21.157","21.233","21.055"
"3207:10:00","21.142","21.158","21.235","21.057"
"3207:11:00","21.142","21.157","21.233","21.054"
"3207:12:00","21.142","21.159","21.232","21.055"
"3207:13:00","21.140","21.158","21.231","21.055"
"3207:14:00","21.139","21.158","21.231","21.054"
"3207:15:00","21.137","21.156","21.231","21.053"
"3207:16:00","21.136","21.156","21.229","21.051"
"3207:17:00","21.138","21.155","21.231","21.053"
"3207:18:00","21.138","21.156","21.228","21.050"
"3207:19:00","21.136","21.154","21.228","21.045"
"3207:20:00","21.138","21.155","21.228","21.050"
"3207:21:00","21.135","21.155","21.226","21.049"
"3207:22:00","21.135","21.157","21.226","21.050"
"3207:23:00","21.136","21.154","21.227","21.052"
"3207:24:00","21.137","21.156","21.231","21.052"
"3207:25:00","21.137","21.154","21.229","21.049"
"3207:25:00","21.137","21.154","21.229","21.049"
"3207:26:00","21.138","21.153","21.229","21.046"
"3207:27:00","21.137","21.153","21.230","21.047"
"3207:28:00","21.138","21.153","21.228","21.048"
"3207:29:00","21.136","21.153","21.228","21.048"
"3207:30:00","21.136","21.152","21.229","21.048"
"3207:31:00","21.136","21.151","21.228","21.047"
"3207:32:00","21.136","21.152","21.227","21.044"
"3207:33:00","21.136","21.152","21.228","21.045"
"3207:34:00","21.134","21.152","21.225","21.047"
"3207:35:00","21.135","21.151","21.226","21.048"
"3207:36:00","21.135","21.152","21.224","21.048"
"3207:37:00","21.135","21.153","21.225","21.047"
"3207:38:00","21.134","21.151","21.226","21.048"
"3207:39:00","21.136","21.150","21.225","21.046"
"3207:40:00","21.137","21.152","21.227","21.047"
"3207:41:00","21.136","21.150","21.225","21.045"
"3207:42:00","21.137","21.151","21.223","21.045"
"3207:43:00","21.136","21.150","21.223","21.047"
"3207:44:00","21.135","21.149","21.224","21.045"
"3207:45:00","21.137","21.149","21.224","21.045"
"3207:45:00","21.137","21.149","21.224","21.045"
"3207:46:00","21.135","21.149","21.226","21.046"
"3207:47:00","21.136","21.149","21.228","21.045"
"3207:48:00","21.137","21.151","21.231","21.049"
"3207:49:00","21.136","21.152","21.229","21.049"
"3207:50:00","21.134","21.151","21.228","21.048"
"3207:51:00","21.136","21.152","21.230","21.048"
"3207:52:00","21.139","21.149","21.229","21.047"
"3207:53:00","21.135","21.151","21.231","21.048"
"3207:54:00","21.136","21.151","21.231","21.049"
"3207:55:00","21.139","21.150","21.231","21.049"
"3207:56:00","21.137","21.151","21.232","21.047"
"3207:57:00","21.138","21.150","21.231","21.049"
"3207:58:00","21.137","21.151","21.232","21.050"
"3207:59:00","21.136","21.153","21.233","21.052"
"3208:00:00","21.138","21.151","21.230","21.054"
"3208:01:00","21.138","21.151","21.232","21.051"
"3208:02:00","21.137","21.150","21.233","21.049"
"3208:03:00","21.137","21.152","21.232","21.049"
"3208:04:00","21.136","21.152","21.233","21.049"
"3208:05:00","21.138","21.152","21.234","21.049"
"3208:05:00","21.138","21.152","21.234","21.049"
"3208:06:00","21.137","21.152","21.233","21.049"
"3208:07:00","21.135","21.152","21.233","21.049"
"3208:08:00","21.136","21.152","21.231","21.048"
"3208:09:00","21.136","21.153","21.230","21.047"
"3208:10:00","21.135","21.152","21.231","21.049"
"3208:11:00","21.136","21.153","21.233","21.053"
"3208:12:00","21.137","21.151","21.232","21.052"
"3208:13:00","21.138","21.153","21.234","21.052"
"3208:14:00","21.138","21.152","21.230","21.051"
"3208:15:00","21.138","21.152","21.232","21.051"
"3208:16:00","21.140","21.154","21.232","21.050"
"3208:17:00","21.139","21.152","21.231","21.051"
"3208:18:00","21.139","21.151","21.232","21.050"
"3208:19:00","21.139","21.152","21.230","21.051"
"3208:20:00","21.137","21.154","21.232","21.053"
"3208:21:00","21.139","21.153","21.231","21.053"
"3208:22:00","21.138","21.156","21.235","21.053"
"3208:23:00","21.139","21.157","21.236","21.058"
"3208:24:00","21.139","21.156","21.232","21.058"
"3208:25:00","21.142","21.155","21.230","21.057"
"3208:25:00","21.142","21.155","21.230","21.057"
"3208:26:00","21.141","21.153","21.230","21.055"
"3208:27:00","21.140","21.155","21.230","21.057"
"3208:28:00","21.139","21.154","21.232","21.058"
"3208:29:00","21.137","21.155","21.232","21.055"
"3208:30:00","21.139","21.156","21.231","21.056"
"3208:31:00","21.140","21.155","21.229","21.057"
"3208:32:00","21.139","21.156","21.232","21.056"
"3208:33:00","21.141","21.156","21.234","21.055"
"3208:34:00","21.138","21.157","21.231","21.055"
"3208:35:00","21.141","21.158","21.230","21.056"
"3208:36:00","21.141","21.158","21.228","21.056"
"3208:37:00","21.139","21.158","21.228","21.054"
"3208:38:00","21.137","21.157","21.229","21.054"
"3208:39:00","21.139","21.157","21.227","21.054"
"3208:40:00","21.140","21.156","21.229","21.054"
"3208:41:00","21.141","21.156","21.228","21.053"
"3208:42:00","21.141","21.158","21.227","21.053"
"3208:43:00","21.139","21.157","21.228","21.053"
"3208:44:00","21.140","21.157","21.228","21.054"
"3208:45:00","21.140","21.156","21.230","21.056"
"3208:45:00","21.140","21.156","21.230","21.056"
"3208:46:00","21.141","21.159","21.229","21.059"
"3208:47:00","21.140","21.158","21.230","21.057"
"3208:48:00","21.140","21.158","21.232","21.060"
"3208:49:00","21.139","21.157","21.234","21.059"
"3208:50:00","21.140","21.157","21.234","21.058"
"3208:51:00","21.139","21.157","21.234","21.057"
"3208:52:00","21.140","21.158","21.235","21.059"
"3208:53:00","21.141","21.158","21.237","21.058"
"3208:54:00","21.139","21.158","21.237","21.059"
"3208:55:00","21.138","21.158","21.235","21.060"
"3208:56:00","21.141","21.158","21.234","21.061"
"3208:57:00","21.141","21.158","21.235","21.059"
"3208:58:00","21.140","21.159","21.232","21.057"
"3208:59:00","21.138","21.159","21.232","21.056"
"3209:00:00","21.140","21.158","21.231","21.058"
"3209:01:00","21.138","21.155","21.231","21.059"
"3209:02:00","21.138","21.157","21.229","21.060"
"3209:03:00","21.138","21.158","21.229","21.058"
"3209:04:00","21.137","21.156","21.229","21.056"
"3209:05:00","21.137","21.157","21.231","21.056"
"3209:05:00","21.137","21.157","21.231","21.056"
"3209:06:00","21.137","21.155","21.229","21.055"
"3209:07:00","21.139","21.157","21.232","21.053"
"3209:08:00","21.137","21.156","21.232","21.054"
"3209:09:00","21.139","21.155","21.231","21.053"
"3209:10:00","21.138","21.156","21.233","21.053"
"3209:11:00","21.141","21.156","21.232","21.053"
"3209:12:00","21.140","21.157","21.230","21.053"
"3209:13:00","21.139","21.157","21.231","21.053"
"3209:14:00","21.140","21.155","21.233","21.053"
"3209:15:00","21.139","21.154","21.233","21.054"
"3209:16:00","21.139","21.157","21.234","21.053"
"3209:17:00","21.138","21.157","21.234","21.058"
"3209:18:00","21.139","21.158","21.233","21.057"
"3209:19:00","21.138","21.156","21.234","21.055"
"3209:20:00","21.138","21.156","21.234","21.053"
"3209:21:00","21.141","21.156","21.235","21.056"
"3209:22:00","21.140","21.157","21.237","21.055"
"3209:23:00","21.140","21.158","21.237","21.056"
"3209:24:00","21.141","21.158","21.238","21.058"
"3209:25:00","21.142","21.159","21.238","21.055"
"3209:25:00","21.142","21.159","21.238","21.055"
"3209:26:00","21.141","21.158","21.239","21.057"
"3209:27:00","21.143","21.159","21.238","21.055"
"3209:28:00","21.141","21.160","21.240","21.057"
"3209:29:00","21.143","21.160","21.239","21.060"
"3209:30:00","21.143","21.159","21.239","21.058"
"3209:31:00","21.140","21.160","21.236","21.059"
"3209:32:00","21.140","21.161","21.238","21.057"
"3209:33:00","21.143","21.159","21.238","21.057"
"3209:34:00","21.143","21.161","21.241","21.058"
"3209:35:00","21.144","21.160","21.240","21.058"
"3209:36:00","21.146","21.160","21.239","21.060"
"3209:37:00","21.144","21.160","21.237","21.057"
"3209:38:00","21.144","21.160","21.238","21.056"
"3209:39:00","21.144","21.158","21.236","21.056"
"3209:40:00","21.144","21.159","21.236","21.053"
"3209:41:00","21.142","21.159","21.238","21.055"
"3209:42:00","21.142","21.158","21.236","21.054"
"3209:43:00","21.140","21.159","21.236","21.056"
"3209:44:00","21.140","21.158","21.239","21.055"
"3209:45:00","21.140","21.159","21.238","21.057"
"3209:45:00","21.140","21.159","21.238","21.057"
"3209:46:00","21.139","21.159","21.235","21.056"
"3209:47:00","21.140","21.160","21.236","21.059"
"3209:48:00","21.141","21.159","21.238","21.059"
"3209:49:00","21.140","21.159","21.236","21.062"
"3209:50:00","21.141","21.159","21.234","21.058"
"3209:51:00","21.140","21.160","21.235","21.057"
"3209:52:00","21.140","21.159","21.233","21.057"
"3209:53:00","21.139","21.158","21.234","21.057"
"3209:54:00","21.142","21.159","21.234","21.055"
"3209:55:00","21.142","21.158","21.234","21.058"
"3209:56:00","21.142","21.160","21.232","21.057"
"3209:57:00","21.144","21.158","21.230","21.059"
"3209:58:00","21.142","21.159","21.233","21.057"
"3209:59:00","21.143","21.158","21.235","21.055"
"3210:00:00","21.142","21.161","21.233","21.055"
"3210:01:00","21.143","21.160","21.234","21.059"
"3210:02:00","21.143","21.160","21.232","21.057"
"3210:03:00","21.142","21.160","21.234","21.057"
"3210:04:00","21.142","21.160","21.231","21.057"
"3210:05:00","21.142","21.160","21.232","21.055"
"3210:05:00","21.142","21.160","21.232","21.055"
"3210:06:00","21.141","21.158","21.232","21.056"
"3210:07:00","21.141","21.162","21.237","21.059"
"3210:08:00","21.142","21.163","21.236","21.060"
"3210:09:00","21.141","21.160","21.233","21.059"
"3210:10:00","21.143","21.158","21.235","21.057"
"3210:11:00","21.142","21.158","21.235","21.056"
"3210:12:00","21.142","21.159","21.236","21.056"
"3210:13:00","21.144","21.159","21.235","21.057"
"3210:14:00","21.144","21.158","21.236","21.059"
"3210:15:00","21.142","21.160","21.238","21.058"
"3210:16:00","21.140","21.160","21.235","21.056"
"3210:17:00","21.140","21.159","21.234","21.057"
"3210:18:00","21.140","21.160","21.235","21.057"
"3210:19:00","21.139","21.158","21.235","21.057"
"3210:20:00","21.140","21.157","21.234","21.054"
"3210:21:00","21.140","21.157","21.232","21.056"
